my,opp,n,wins,wr,ci_lo,ci_hi
Mega Abomasnow ex,Iono’s Bellibolt ex,71,12,16.9,9.9,27.3
Crustle,Cynthia's Garchomp ex,71,31,43.7,32.7,55.2
Cynthia's Garchomp ex,Crustle,71,40,56.3,44.8,67.3
Dragapult ex,Walrein,71,27,38.0,27.6,49.7
Walrein,Dragapult ex,71,44,62.0,50.3,72.4
Archaludon ex,Thwackey,71,57,80.3,69.6,87.9
Thwackey,Archaludon ex,71,14,19.7,12.1,30.4
Mega Starmie ex,Mega Abomasnow ex,70,51,72.9,61.5,81.9
Mega Abomasnow ex,Mega Starmie ex,70,19,27.1,18.1,38.5
Cubchoo,Crustle,69,34,49.3,37.8,60.8
Crustle,Cubchoo,69,35,50.7,39.2,62.2
Cynthia's Garchomp ex,Yveltal,68,17,25.0,16.2,36.4
Yveltal,Cynthia's Garchomp ex,68,51,75.0,63.6,83.8
Ethan's Typhlosion,Mega Starmie ex,67,14,20.9,12.9,32.1
Mega Starmie ex,Ethan's Typhlosion,67,53,79.1,67.9,87.1
Fezandipiti ex,Mega Lucario ex,67,46,68.7,56.8,78.5
Mega Lucario ex,Fezandipiti ex,67,21,31.3,21.5,43.2
Cynthia's Garchomp ex,Cubchoo,67,42,62.7,50.7,73.3
Cubchoo,Cynthia's Garchomp ex,67,25,37.3,26.7,49.3
Okidogi,Team Rocket's Mewtwo ex,65,40,61.5,49.4,72.4
Team Rocket's Mewtwo ex,Okidogi,65,25,38.5,27.6,50.6
Munkidori,Alakazam,64,26,40.6,29.5,52.9
Alakazam,Munkidori,64,38,59.4,47.1,70.5
Seaking,Crustle,62,50,80.6,69.1,88.6
Crustle,Seaking,62,12,19.4,11.4,30.9
Cynthia's Garchomp ex,Brambleghast,62,25,40.3,29.0,52.7
Brambleghast,Cynthia's Garchomp ex,62,37,59.7,47.3,71.0
Crustle,Team Rocket's Mewtwo ex,60,5,8.3,3.6,18.1
Team Rocket's Mewtwo ex,Crustle,60,55,91.7,81.9,96.4
Walrein,Marnie's Grimmsnarl ex,59,10,16.9,9.5,28.5
Marnie's Grimmsnarl ex,Walrein,59,49,83.1,71.5,90.5
Dragapult ex,Seaking,58,30,51.7,39.2,64.1
Seaking,Dragapult ex,58,28,48.3,35.9,60.8
Mega Gardevoir ex,Alakazam,58,22,37.9,26.6,50.8
Alakazam,Mega Gardevoir ex,58,36,62.1,49.2,73.4
Cornerstone Mask Ogerpon ex,Archaludon ex,58,32,55.2,42.5,67.3
Archaludon ex,Cornerstone Mask Ogerpon ex,58,26,44.8,32.7,57.5
Mega Lopunny ex,Arboliva ex,58,31,53.4,40.8,65.7
Arboliva ex,Mega Lopunny ex,58,27,46.6,34.3,59.2
Teal Mask Ogerpon ex,Mega Starmie ex,57,6,10.5,4.9,21.1
Mega Starmie ex,Teal Mask Ogerpon ex,57,51,89.5,78.9,95.1
Mega Venusaur ex,Teal Mask Ogerpon ex,56,27,48.2,35.7,61.0
Teal Mask Ogerpon ex,Mega Venusaur ex,56,29,51.8,39.0,64.3
Iono’s Bellibolt ex,Okidogi,54,12,22.2,13.2,34.9
Okidogi,Iono’s Bellibolt ex,54,42,77.8,65.1,86.8
Chandelure,Team Rocket's Mewtwo ex,53,14,26.4,16.4,39.6
Team Rocket's Mewtwo ex,Chandelure,53,39,73.6,60.4,83.6
Mega Froslass ex,Archaludon ex,53,13,24.5,14.9,37.6
Archaludon ex,Mega Froslass ex,53,40,75.5,62.4,85.1
Okidogi,Mega Lopunny ex,52,45,86.5,74.7,93.3
Mega Lopunny ex,Okidogi,52,7,13.5,6.7,25.3
Mega Kangaskhan ex,Arboliva ex,51,37,72.5,59.1,82.9
Arboliva ex,Mega Kangaskhan ex,51,13,25.5,15.5,38.9
Hop's Trevenant,Mega Starmie ex,50,24,48.0,34.8,61.5
Mega Starmie ex,Hop's Trevenant,50,26,52.0,38.5,65.2
Crustle,Mega Lopunny ex,49,14,28.6,17.8,42.4
Mega Lopunny ex,Crustle,49,35,71.4,57.6,82.2
Mega Froslass ex,Mega Lucario ex,49,25,51.0,37.5,64.4
Mega Lucario ex,Mega Froslass ex,49,24,49.0,35.6,62.5
Brambleghast,Cornerstone Mask Ogerpon ex,49,25,51.0,37.5,64.4
Cornerstone Mask Ogerpon ex,Brambleghast,49,24,49.0,35.6,62.5
Mega Lopunny ex,N’s Zoroark ex,49,11,22.4,13.0,35.9
N’s Zoroark ex,Mega Lopunny ex,49,38,77.6,64.1,87.0
Marnie's Grimmsnarl ex,Ethan's Typhlosion,48,26,54.2,40.3,67.4
Ethan's Typhlosion,Marnie's Grimmsnarl ex,48,22,45.8,32.6,59.7
Yveltal,Okidogi,48,14,29.2,18.2,43.2
Okidogi,Yveltal,48,34,70.8,56.8,81.8
Cornerstone Mask Ogerpon ex,Okidogi,48,41,85.4,72.8,92.8
Okidogi,Cornerstone Mask Ogerpon ex,48,7,14.6,7.2,27.2
Ethan's Typhlosion,Mega Kangaskhan ex,47,34,72.3,58.2,83.1
Mega Kangaskhan ex,Ethan's Typhlosion,47,13,27.7,16.9,41.8
Dragapult ex,Cubchoo,47,36,76.6,62.8,86.4
Cubchoo,Dragapult ex,47,11,23.4,13.6,37.2
Pikachu ex,Alakazam,46,16,34.8,22.7,49.2
Alakazam,Pikachu ex,46,30,65.2,50.8,77.3
Seaking,Mega Starmie ex,46,11,23.9,13.9,37.9
Mega Starmie ex,Seaking,46,35,76.1,62.1,86.1
Mega Kangaskhan ex,Iono’s Bellibolt ex,45,10,22.2,12.5,36.3
Iono’s Bellibolt ex,Mega Kangaskhan ex,45,35,77.8,63.7,87.5
Dragapult ex,N’s Zoroark ex,44,17,38.6,25.7,53.4
N’s Zoroark ex,Dragapult ex,44,27,61.4,46.6,74.3
Mega Starmie ex,Yveltal,44,19,43.2,29.7,57.8
Yveltal,Mega Starmie ex,44,25,56.8,42.2,70.3
Yveltal,Archaludon ex,44,27,61.4,46.6,74.3
Archaludon ex,Yveltal,44,17,38.6,25.7,53.4
Brambleghast,Dragapult ex,44,7,15.9,7.9,29.4
Dragapult ex,Brambleghast,44,37,84.1,70.6,92.1
Hop's Trevenant,Dragapult ex,43,18,41.9,28.4,56.7
Dragapult ex,Hop's Trevenant,43,25,58.1,43.3,71.6
Hop’s Snorlax,Pikachu ex,41,26,63.4,48.1,76.4
Pikachu ex,Hop’s Snorlax,41,15,36.6,23.6,51.9
Team Rocket's Honchkrow,Archaludon ex,41,19,46.3,32.1,61.3
Archaludon ex,Team Rocket's Honchkrow,41,22,53.7,38.7,67.9
Iono’s Bellibolt ex,Team Rocket's Mewtwo ex,40,29,72.5,57.2,83.9
Team Rocket's Mewtwo ex,Iono’s Bellibolt ex,40,11,27.5,16.1,42.8
Mega Lucario ex,Yveltal,40,12,30.0,18.1,45.4
Yveltal,Mega Lucario ex,40,28,70.0,54.6,81.9
Fezandipiti ex,Alakazam,39,12,30.8,18.6,46.4
Alakazam,Fezandipiti ex,39,27,69.2,53.6,81.4
Chandelure,Crustle,39,20,51.3,36.2,66.1
Crustle,Chandelure,39,19,48.7,33.9,63.8
Teal Mask Ogerpon ex,Archaludon ex,39,22,56.4,41.0,70.7
Archaludon ex,Teal Mask Ogerpon ex,39,17,43.6,29.3,59.0
Cornerstone Mask Ogerpon ex,Mega Lopunny ex,39,3,7.7,2.7,20.3
Mega Lopunny ex,Cornerstone Mask Ogerpon ex,39,36,92.3,79.7,97.3
Okidogi,Teal Mask Ogerpon ex,39,29,74.4,58.9,85.4
Teal Mask Ogerpon ex,Okidogi,39,10,25.6,14.6,41.1
Marnie's Grimmsnarl ex,Mega Gardevoir ex,39,20,51.3,36.2,66.1
Mega Gardevoir ex,Marnie's Grimmsnarl ex,39,19,48.7,33.9,63.8
Hydrapple ex,Thwackey,39,17,43.6,29.3,59.0
Thwackey,Hydrapple ex,39,22,56.4,41.0,70.7
Mega Abomasnow ex,Team Rocket's Honchkrow,38,11,28.9,17.0,44.8
Team Rocket's Honchkrow,Mega Abomasnow ex,38,27,71.1,55.2,83.0
Cubchoo,Team Rocket's Mewtwo ex,38,13,34.2,21.2,50.1
Team Rocket's Mewtwo ex,Cubchoo,38,25,65.8,49.9,78.8
Cornerstone Mask Ogerpon ex,Cornerstone Mask Ogerpon ex,38,19,50.0,34.8,65.2
Brambleghast,Mega Starmie ex,38,5,13.2,5.8,27.3
Mega Starmie ex,Brambleghast,38,33,86.8,72.7,94.2
N’s Zoroark ex,Team Rocket's Mewtwo ex,38,13,34.2,21.2,50.1
Team Rocket's Mewtwo ex,N’s Zoroark ex,38,25,65.8,49.9,78.8
Raging Bolt ex,Mega Lucario ex,37,12,32.4,19.6,48.5
Mega Lucario ex,Raging Bolt ex,37,25,67.6,51.5,80.4
Seaking,Mega Lopunny ex,37,24,64.9,48.8,78.2
Mega Lopunny ex,Seaking,37,13,35.1,21.8,51.2
Iono’s Bellibolt ex,Thwackey,36,11,30.6,18.0,46.9
Thwackey,Iono’s Bellibolt ex,36,25,69.4,53.1,82.0
Okidogi,Ethan's Typhlosion,36,26,72.2,56.0,84.2
Ethan's Typhlosion,Okidogi,36,10,27.8,15.8,44.0
Thwackey,Crustle,36,19,52.8,37.0,68.0
Crustle,Thwackey,36,17,47.2,32.0,63.0
Mega Lopunny ex,Archaludon ex,36,21,58.3,42.2,72.9
Archaludon ex,Mega Lopunny ex,36,15,41.7,27.1,57.8
Marnie's Grimmsnarl ex,Mega Sharpedo ex,36,23,63.9,47.6,77.5
Mega Sharpedo ex,Marnie's Grimmsnarl ex,36,13,36.1,22.5,52.4
Mega Venusaur ex,Dragapult ex,36,21,58.3,42.2,72.9
Dragapult ex,Mega Venusaur ex,36,15,41.7,27.1,57.8
Dragapult ex,Arboliva ex,36,19,52.8,37.0,68.0
Arboliva ex,Dragapult ex,36,17,47.2,32.0,63.0
Team Rocket's Honchkrow,Dragapult ex,35,12,34.3,20.8,50.8
Dragapult ex,Team Rocket's Honchkrow,35,23,65.7,49.2,79.2
Mega Kangaskhan ex,Seaking,35,13,37.1,23.2,53.7
Seaking,Mega Kangaskhan ex,35,22,62.9,46.3,76.8
Dragapult ex,Yveltal,35,21,60.0,43.6,74.4
Yveltal,Dragapult ex,35,14,40.0,25.6,56.4
Mega Starmie ex,Mega Froslass ex,34,13,38.2,23.9,55.0
Mega Froslass ex,Mega Starmie ex,34,21,61.8,45.0,76.1
Walrein,Okidogi,33,16,48.5,32.5,64.8
Okidogi,Walrein,33,17,51.5,35.2,67.5
Hop’s Snorlax,Mega Froslass ex,33,14,42.4,27.2,59.2
Mega Froslass ex,Hop’s Snorlax,33,19,57.6,40.8,72.8
Munkidori,Mega Kangaskhan ex,33,4,12.1,4.8,27.3
Mega Kangaskhan ex,Munkidori,33,29,87.9,72.7,95.2
Mega Lucario ex,Brambleghast,33,15,45.5,29.8,62.0
Brambleghast,Mega Lucario ex,33,18,54.5,38.0,70.2
Arboliva ex,Teal Mask Ogerpon ex,33,15,45.5,29.8,62.0
Teal Mask Ogerpon ex,Arboliva ex,33,18,54.5,38.0,70.2
Mega Kangaskhan ex,Mega Froslass ex,32,21,65.6,48.3,79.6
Mega Froslass ex,Mega Kangaskhan ex,32,11,34.4,20.4,51.7
Cynthia's Garchomp ex,Hydrapple ex,32,8,25.0,13.3,42.1
Hydrapple ex,Cynthia's Garchomp ex,32,24,75.0,57.9,86.7
Chandelure,Chandelure,32,16,50.0,33.6,66.4
Hydrapple ex,Hydrapple ex,32,16,50.0,33.6,66.4
Mega Lucario ex,Centiskorch,31,28,90.3,75.1,96.7
Centiskorch,Mega Lucario ex,31,3,9.7,3.3,24.9
Mega Starmie ex,Team Rocket's Honchkrow,30,20,66.7,48.8,80.8
Team Rocket's Honchkrow,Mega Starmie ex,30,10,33.3,19.2,51.2
Team Rocket's Mewtwo ex,Brambleghast,30,14,46.7,30.2,63.9
Brambleghast,Team Rocket's Mewtwo ex,30,16,53.3,36.1,69.8
N’s Zoroark ex,Mega Lucario ex,29,11,37.9,22.7,56.0
Mega Lucario ex,N’s Zoroark ex,29,18,62.1,44.0,77.3
Walrein,Crustle,29,17,58.6,40.7,74.5
Crustle,Walrein,29,12,41.4,25.5,59.3
Centiskorch,Crustle,28,27,96.4,82.3,99.4
Crustle,Centiskorch,28,1,3.6,0.6,17.7
Mega Froslass ex,Dragapult ex,28,11,39.3,23.6,57.6
Dragapult ex,Mega Froslass ex,28,17,60.7,42.4,76.4
Mega Venusaur ex,Thwackey,27,9,33.3,18.6,52.2
Thwackey,Mega Venusaur ex,27,18,66.7,47.8,81.4
Iono’s Bellibolt ex,Team Rocket's Honchkrow,26,19,73.1,53.9,86.3
Team Rocket's Honchkrow,Iono’s Bellibolt ex,26,7,26.9,13.7,46.1
Munkidori,Marnie's Grimmsnarl ex,26,12,46.2,28.8,64.5
Marnie's Grimmsnarl ex,Munkidori,26,14,53.8,35.5,71.2
Cornerstone Mask Ogerpon ex,Thwackey,24,21,87.5,69.0,95.7
Thwackey,Cornerstone Mask Ogerpon ex,24,3,12.5,4.3,31.0
Team Rocket's Honchkrow,Ethan's Typhlosion,23,14,60.9,40.8,77.8
Ethan's Typhlosion,Team Rocket's Honchkrow,23,9,39.1,22.2,59.2
Hop’s Snorlax,Mega Lopunny ex,23,6,26.1,12.5,46.5
Mega Lopunny ex,Hop’s Snorlax,23,17,73.9,53.5,87.5
Alakazam,Mega Sharpedo ex,23,15,65.2,44.9,81.2
Mega Sharpedo ex,Alakazam,23,8,34.8,18.8,55.1
N’s Zoroark ex,Cynthia's Garchomp ex,23,11,47.8,29.2,67.0
Cynthia's Garchomp ex,N’s Zoroark ex,23,12,52.2,33.0,70.8
Marnie's Grimmsnarl ex,Mega Froslass ex,22,14,63.6,43.0,80.3
Mega Froslass ex,Marnie's Grimmsnarl ex,22,8,36.4,19.7,57.0
Walrein,Cubchoo,22,18,81.8,61.5,92.7
Cubchoo,Walrein,22,4,18.2,7.3,38.5
Crustle,Fezandipiti ex,21,6,28.6,13.8,50.0
Fezandipiti ex,Crustle,21,15,71.4,50.0,86.2
Team Rocket's Mewtwo ex,Seaking,21,9,42.9,24.5,63.5
Seaking,Team Rocket's Mewtwo ex,21,12,57.1,36.5,75.5
Hop’s Snorlax,Fezandipiti ex,21,13,61.9,40.9,79.2
Fezandipiti ex,Hop’s Snorlax,21,8,38.1,20.8,59.1
Hop’s Snorlax,Teal Mask Ogerpon ex,21,9,42.9,24.5,63.5
Teal Mask Ogerpon ex,Hop’s Snorlax,21,12,57.1,36.5,75.5
Yveltal,Teal Mask Ogerpon ex,21,2,9.5,2.7,28.9
Teal Mask Ogerpon ex,Yveltal,21,19,90.5,71.1,97.3
Cynthia's Garchomp ex,Mega Venusaur ex,21,4,19.0,7.7,40.0
Mega Venusaur ex,Cynthia's Garchomp ex,21,17,81.0,60.0,92.3
Crustle,Cornerstone Mask Ogerpon ex,20,9,45.0,25.8,65.8
Cornerstone Mask Ogerpon ex,Crustle,20,11,55.0,34.2,74.2
Teal Mask Ogerpon ex,Cornerstone Mask Ogerpon ex,20,0,0.0,0.0,16.1
Cornerstone Mask Ogerpon ex,Teal Mask Ogerpon ex,20,20,100.0,83.9,100.0
Mega Venusaur ex,Mega Lucario ex,20,5,25.0,11.2,46.9
Mega Lucario ex,Mega Venusaur ex,20,15,75.0,53.1,88.8
Yveltal,Chandelure,20,8,40.0,21.9,61.3
Chandelure,Yveltal,20,12,60.0,38.7,78.1
Chandelure,Teal Mask Ogerpon ex,20,4,20.0,8.1,41.6
Teal Mask Ogerpon ex,Chandelure,20,16,80.0,58.4,91.9
Iono’s Bellibolt ex,Seaking,19,7,36.8,19.1,59.0
Seaking,Iono’s Bellibolt ex,19,12,63.2,41.0,80.9
Ethan's Typhlosion,Seaking,19,3,15.8,5.5,37.6
Seaking,Ethan's Typhlosion,19,16,84.2,62.4,94.5
Arboliva ex,Thwackey,19,10,52.6,31.7,72.7
Thwackey,Arboliva ex,19,9,47.4,27.3,68.3
Raging Bolt ex,Alakazam,18,5,27.8,12.5,50.9
Alakazam,Raging Bolt ex,18,13,72.2,49.1,87.5
Team Rocket's Honchkrow,Mega Kangaskhan ex,18,9,50.0,29.0,71.0
Mega Kangaskhan ex,Team Rocket's Honchkrow,18,9,50.0,29.0,71.0
Mega Starmie ex,Pikachu ex,18,14,77.8,54.8,91.0
Pikachu ex,Mega Starmie ex,18,4,22.2,9.0,45.2
Walrein,Cynthia's Garchomp ex,18,12,66.7,43.7,83.7
Cynthia's Garchomp ex,Walrein,18,6,33.3,16.3,56.3
Walrein,Chandelure,18,13,72.2,49.1,87.5
Chandelure,Walrein,18,5,27.8,12.5,50.9
Seaking,Thwackey,17,16,94.1,73.0,99.0
Thwackey,Seaking,17,1,5.9,1.0,27.0
Comfey,Alakazam,17,11,64.7,41.3,82.7
Alakazam,Comfey,17,6,35.3,17.3,58.7
Iono’s Bellibolt ex,Mega Lopunny ex,16,8,50.0,28.0,72.0
Mega Lopunny ex,Iono’s Bellibolt ex,16,8,50.0,28.0,72.0
Walrein,Mega Kangaskhan ex,16,11,68.8,44.4,85.8
Mega Kangaskhan ex,Walrein,16,5,31.2,14.2,55.6
Yveltal,Cornerstone Mask Ogerpon ex,16,7,43.8,23.1,66.8
Cornerstone Mask Ogerpon ex,Yveltal,16,9,56.2,33.2,76.9
Mega Lucario ex,Mega Heracross ex,15,11,73.3,48.0,89.1
Mega Heracross ex,Mega Lucario ex,15,4,26.7,10.9,52.0
Cynthia's Garchomp ex,Mega Abomasnow ex,15,5,33.3,15.2,58.3
Mega Abomasnow ex,Cynthia's Garchomp ex,15,10,66.7,41.7,84.8
Crustle,Teal Mask Ogerpon ex,15,13,86.7,62.1,96.3
Teal Mask Ogerpon ex,Crustle,15,2,13.3,3.7,37.9
Hydrapple ex,Crustle,15,2,13.3,3.7,37.9
Crustle,Hydrapple ex,15,13,86.7,62.1,96.3
Team Rocket's Mewtwo ex,Ethan's Typhlosion,15,6,40.0,19.8,64.3
Ethan's Typhlosion,Team Rocket's Mewtwo ex,15,9,60.0,35.7,80.2
Ethan's Typhlosion,Thwackey,15,7,46.7,24.8,69.9
Thwackey,Ethan's Typhlosion,15,8,53.3,30.1,75.2
Walrein,Team Rocket's Mewtwo ex,15,4,26.7,10.9,52.0
Team Rocket's Mewtwo ex,Walrein,15,11,73.3,48.0,89.1
Lillie’s Clefairy ex,Mega Lucario ex,15,8,53.3,30.1,75.2
Mega Lucario ex,Lillie’s Clefairy ex,15,7,46.7,24.8,69.9
Chandelure,Mega Lopunny ex,15,7,46.7,24.8,69.9
Mega Lopunny ex,Chandelure,15,8,53.3,30.1,75.2
Mega Kangaskhan ex,Mega Gardevoir ex,15,8,53.3,30.1,75.2
Mega Gardevoir ex,Mega Kangaskhan ex,15,7,46.7,24.8,69.9
Hydrapple ex,N’s Zoroark ex,15,8,53.3,30.1,75.2
N’s Zoroark ex,Hydrapple ex,15,7,46.7,24.8,69.9
Mega Lopunny ex,Mega Abomasnow ex,14,5,35.7,16.3,61.2
Mega Abomasnow ex,Mega Lopunny ex,14,9,64.3,38.8,83.7
Cynthia's Garchomp ex,Seaking,14,4,28.6,11.7,54.6
Seaking,Cynthia's Garchomp ex,14,10,71.4,45.4,88.3
Okidogi,Seaking,14,6,42.9,21.4,67.4
Seaking,Okidogi,14,8,57.1,32.6,78.6
Thwackey,Okidogi,14,3,21.4,7.6,47.6
Okidogi,Thwackey,14,11,78.6,52.4,92.4
Marnie's Grimmsnarl ex,Iono’s Bellibolt ex,14,11,78.6,52.4,92.4
Iono’s Bellibolt ex,Marnie's Grimmsnarl ex,14,3,21.4,7.6,47.6
Mega Lucario ex,Mega Diancie ex,14,3,21.4,7.6,47.6
Mega Diancie ex,Mega Lucario ex,14,11,78.6,52.4,92.4
Raging Bolt ex,Archaludon ex,14,7,50.0,26.8,73.2
Archaludon ex,Raging Bolt ex,14,7,50.0,26.8,73.2
Cynthia's Garchomp ex,Munkidori,14,11,78.6,52.4,92.4
Munkidori,Cynthia's Garchomp ex,14,3,21.4,7.6,47.6
Mega Lucario ex,Arboliva ex,14,9,64.3,38.8,83.7
Arboliva ex,Mega Lucario ex,14,5,35.7,16.3,61.2
Mega Lucario ex,Dudunsparce ex,13,8,61.5,35.5,82.3
Dudunsparce ex,Mega Lucario ex,13,5,38.5,17.7,64.5
Mega Abomasnow ex,Archaludon ex,13,3,23.1,8.2,50.3
Archaludon ex,Mega Abomasnow ex,13,10,76.9,49.7,91.8
Mega Lopunny ex,Ethan's Typhlosion,13,6,46.2,23.2,70.9
Ethan's Typhlosion,Mega Lopunny ex,13,7,53.8,29.1,76.8
Raging Bolt ex,Hop’s Snorlax,13,10,76.9,49.7,91.8
Hop’s Snorlax,Raging Bolt ex,13,3,23.1,8.2,50.3
Lillie’s Clefairy ex,Hop’s Snorlax,13,6,46.2,23.2,70.9
Hop’s Snorlax,Lillie’s Clefairy ex,13,7,53.8,29.1,76.8
Alakazam,Mega Diancie ex,13,12,92.3,66.7,98.6
Mega Diancie ex,Alakazam,13,1,7.7,1.4,33.3
Sylveon,Alakazam,13,2,15.4,4.3,42.2
Alakazam,Sylveon,13,11,84.6,57.8,95.7
Yveltal,Team Rocket's Mewtwo ex,13,0,0.0,0.0,22.8
Team Rocket's Mewtwo ex,Yveltal,13,13,100.0,77.2,100.0
Chandelure,Brambleghast,13,8,61.5,35.5,82.3
Brambleghast,Chandelure,13,5,38.5,17.7,64.5
Dragapult ex,Raging Bolt ex,12,4,33.3,13.8,60.9
Raging Bolt ex,Dragapult ex,12,8,66.7,39.1,86.2
Latias ex,Mega Lucario ex,12,5,41.7,19.3,68.0
Mega Lucario ex,Latias ex,12,7,58.3,32.0,80.7
Alakazam,Latias ex,12,6,50.0,25.4,74.6
Latias ex,Alakazam,12,6,50.0,25.4,74.6
Cynthia's Garchomp ex,Mega Froslass ex,12,9,75.0,46.8,91.1
Mega Froslass ex,Cynthia's Garchomp ex,12,3,25.0,8.9,53.2
Brambleghast,Archaludon ex,12,6,50.0,25.4,74.6
Archaludon ex,Brambleghast,12,6,50.0,25.4,74.6
Team Rocket's Mewtwo ex,Mega Gardevoir ex,12,5,41.7,19.3,68.0
Mega Gardevoir ex,Team Rocket's Mewtwo ex,12,7,58.3,32.0,80.7
Mega Camerupt ex,Mega Abomasnow ex,11,2,18.2,5.1,47.7
Mega Abomasnow ex,Mega Camerupt ex,11,9,81.8,52.3,94.9
Mega Lucario ex,Mega Mawile ex,11,10,90.9,62.3,98.4
Mega Mawile ex,Mega Lucario ex,11,1,9.1,1.6,37.7
Iono’s Bellibolt ex,Cynthia's Garchomp ex,11,6,54.5,28.0,78.7
Cynthia's Garchomp ex,Iono’s Bellibolt ex,11,5,45.5,21.3,72.0
Teal Mask Ogerpon ex,Ethan's Typhlosion,11,0,0.0,0.0,25.9
Ethan's Typhlosion,Teal Mask Ogerpon ex,11,11,100.0,74.1,100.0
Mega Gardevoir ex,Crustle,11,5,45.5,21.3,72.0
Crustle,Mega Gardevoir ex,11,6,54.5,28.0,78.7
Mega Froslass ex,Okidogi,11,2,18.2,5.1,47.7
Okidogi,Mega Froslass ex,11,9,81.8,52.3,94.9
Iono’s Bellibolt ex,Hop's Trevenant,11,5,45.5,21.3,72.0
Hop's Trevenant,Iono’s Bellibolt ex,11,6,54.5,28.0,78.7
Iono’s Bellibolt ex,Walrein,11,5,45.5,21.3,72.0
Walrein,Iono’s Bellibolt ex,11,6,54.5,28.0,78.7
Pikachu ex,Archaludon ex,11,1,9.1,1.6,37.7
Archaludon ex,Pikachu ex,11,10,90.9,62.3,98.4
Cynthia's Garchomp ex,Mega Gardevoir ex,11,8,72.7,43.4,90.3
Mega Gardevoir ex,Cynthia's Garchomp ex,11,3,27.3,9.7,56.6
Cynthia's Garchomp ex,Arboliva ex,11,1,9.1,1.6,37.7
Arboliva ex,Cynthia's Garchomp ex,11,10,90.9,62.3,98.4
XerneasEX,Mega Abomasnow ex,10,3,30.0,10.8,60.3
Mega Abomasnow ex,XerneasEX,10,7,70.0,39.7,89.2
Iron Thorns ex,Mega Abomasnow ex,10,5,50.0,23.7,76.3
Mega Abomasnow ex,Iron Thorns ex,10,5,50.0,23.7,76.3
Mega Lucario ex,Hydreigon ex,10,7,70.0,39.7,89.2
Hydreigon ex,Mega Lucario ex,10,3,30.0,10.8,60.3
Dudunsparce ex,Crustle,10,2,20.0,5.7,51.0
Crustle,Dudunsparce ex,10,8,80.0,49.0,94.3
Mega Zygarde ex,Alakazam,10,4,40.0,16.8,68.7
Alakazam,Mega Zygarde ex,10,6,60.0,31.3,83.2
Crustle,Pikachu ex,10,4,40.0,16.8,68.7
Pikachu ex,Crustle,10,6,60.0,31.3,83.2
Alakazam,Team Rocket's Articuno,10,0,0.0,0.0,27.8
Team Rocket's Articuno,Alakazam,10,10,100.0,72.2,100.0
Mega Starmie ex,Hydrapple ex,10,5,50.0,23.7,76.3
Hydrapple ex,Mega Starmie ex,10,5,50.0,23.7,76.3
Team Rocket's Honchkrow,Marnie's Grimmsnarl ex,10,2,20.0,5.7,51.0
Marnie's Grimmsnarl ex,Team Rocket's Honchkrow,10,8,80.0,49.0,94.3
Cornerstone Mask Ogerpon ex,Chandelure,10,7,70.0,39.7,89.2
Chandelure,Cornerstone Mask Ogerpon ex,10,3,30.0,10.8,60.3
Iron Thorns ex,Dragapult ex,9,4,44.4,18.9,73.3
Dragapult ex,Iron Thorns ex,9,5,55.6,26.7,81.1
Mega Mawile ex,Mega Abomasnow ex,9,4,44.4,18.9,73.3
Mega Abomasnow ex,Mega Mawile ex,9,5,55.6,26.7,81.1
Crustle,Iron Thorns ex,9,7,77.8,45.3,93.7
Iron Thorns ex,Crustle,9,2,22.2,6.3,54.7
Mega Abomasnow ex,Mega Heracross ex,9,3,33.3,12.1,64.6
Mega Heracross ex,Mega Abomasnow ex,9,6,66.7,35.4,87.9
Crustle,Mega Heracross ex,9,8,88.9,56.5,98.0
Mega Heracross ex,Crustle,9,1,11.1,2.0,43.5
Cynthia's Garchomp ex,Ethan's Typhlosion,9,5,55.6,26.7,81.1
Ethan's Typhlosion,Cynthia's Garchomp ex,9,4,44.4,18.9,73.3
Mega Gardevoir ex,Mega Lucario ex,9,2,22.2,6.3,54.7
Mega Lucario ex,Mega Gardevoir ex,9,7,77.8,45.3,93.7
Teal Mask Ogerpon ex,Mega Abomasnow ex,9,5,55.6,26.7,81.1
Mega Abomasnow ex,Teal Mask Ogerpon ex,9,4,44.4,18.9,73.3
Team Rocket's Mewtwo ex,Mega Froslass ex,9,0,0.0,0.0,29.9
Mega Froslass ex,Team Rocket's Mewtwo ex,9,9,100.0,70.1,100.0
Hop's Trevenant,Team Rocket's Mewtwo ex,9,2,22.2,6.3,54.7
Team Rocket's Mewtwo ex,Hop's Trevenant,9,7,77.8,45.3,93.7
Yveltal,Mega Lopunny ex,9,8,88.9,56.5,98.0
Mega Lopunny ex,Yveltal,9,1,11.1,2.0,43.5
Crustle,Brambleghast,9,2,22.2,6.3,54.7
Brambleghast,Crustle,9,7,77.8,45.3,93.7
Mega Kangaskhan ex,Cinderace,9,8,88.9,56.5,98.0
Cinderace,Mega Kangaskhan ex,9,1,11.1,2.0,43.5
Mega Venusaur ex,Hydrapple ex,9,3,33.3,12.1,64.6
Hydrapple ex,Mega Venusaur ex,9,6,66.7,35.4,87.9
Mega Lucario ex,Iron Thorns ex,8,7,87.5,52.9,97.8
Iron Thorns ex,Mega Lucario ex,8,1,12.5,2.2,47.1
Mega Gardevoir ex,Dragapult ex,8,3,37.5,13.7,69.4
Dragapult ex,Mega Gardevoir ex,8,5,62.5,30.6,86.3
Ethan's Typhlosion,Archaludon ex,8,6,75.0,40.9,92.9
