my,opp,n,wins,wr,ci_lo,ci_hi
Ethan's Typhlosion,Cynthia's Garchomp ex,1,0,0.0,0.0,79.3
Archaludon ex,Mega Venusaur ex,1,1,100.0,20.7,100.0
Mega Venusaur ex,Archaludon ex,1,0,0.0,0.0,79.3
Latias ex,Mega Venusaur ex,1,1,100.0,20.7,100.0
Mega Venusaur ex,Latias ex,1,0,0.0,0.0,79.3
Hydrapple ex,Archaludon ex,1,0,0.0,0.0,79.3
Archaludon ex,Hydrapple ex,1,1,100.0,20.7,100.0
Team Rocket's Mewtwo ex,Latias ex,1,0,0.0,0.0,79.3
Latias ex,Team Rocket's Mewtwo ex,1,1,100.0,20.7,100.0
Mega Kangaskhan ex,Archaludon ex,1,1,100.0,20.7,100.0
Archaludon ex,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
Cynthia's Garchomp ex,Seaking,1,0,0.0,0.0,79.3
Seaking,Cynthia's Garchomp ex,1,1,100.0,20.7,100.0
Mega Venusaur ex,Arboliva ex,1,1,100.0,20.7,100.0
Arboliva ex,Mega Venusaur ex,1,0,0.0,0.0,79.3
Archaludon ex,Thwackey,1,1,100.0,20.7,100.0
Thwackey,Archaludon ex,1,0,0.0,0.0,79.3
Empoleon ex,Dragapult ex,1,0,0.0,0.0,79.3
Dragapult ex,Empoleon ex,1,1,100.0,20.7,100.0
Alakazam,Paldean Tauros,1,0,0.0,0.0,79.3
Paldean Tauros,Alakazam,1,1,100.0,20.7,100.0
Cynthia's Garchomp ex,Okidogi,1,1,100.0,20.7,100.0
Okidogi,Cynthia's Garchomp ex,1,0,0.0,0.0,79.3
Team Rocket's Mewtwo ex,Arboliva ex,1,0,0.0,0.0,79.3
Arboliva ex,Team Rocket's Mewtwo ex,1,1,100.0,20.7,100.0
Team Rocket's Mewtwo ex,Archaludon ex,1,0,0.0,0.0,79.3
Archaludon ex,Team Rocket's Mewtwo ex,1,1,100.0,20.7,100.0
Marnie's Grimmsnarl ex,Paldean Tauros,1,1,100.0,20.7,100.0
Paldean Tauros,Marnie's Grimmsnarl ex,1,0,0.0,0.0,79.3
Xerneas,Mega Lopunny ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Xerneas,1,1,100.0,20.7,100.0
Team Rocket's Mewtwo ex,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Team Rocket's Mewtwo ex,1,1,100.0,20.7,100.0
Thwackey,Arboliva ex,1,1,100.0,20.7,100.0
Arboliva ex,Thwackey,1,0,0.0,0.0,79.3
Cornerstone Mask Ogerpon ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Cornerstone Mask Ogerpon ex,1,1,100.0,20.7,100.0
Alakazam,Ethan's Typhlosion,1,1,100.0,20.7,100.0
Ethan's Typhlosion,Alakazam,1,0,0.0,0.0,79.3
Chandelure,Cynthia's Garchomp ex,1,1,100.0,20.7,100.0
Cynthia's Garchomp ex,Chandelure,1,0,0.0,0.0,79.3
Brambleghast,Mega Lopunny ex,1,1,100.0,20.7,100.0
Mega Lopunny ex,Brambleghast,1,0,0.0,0.0,79.3
Brambleghast,Cynthia's Garchomp ex,1,0,0.0,0.0,79.3
Cynthia's Garchomp ex,Brambleghast,1,1,100.0,20.7,100.0
Cornerstone Mask Ogerpon ex,Teal Mask Ogerpon ex,1,0,0.0,0.0,79.3
Teal Mask Ogerpon ex,Cornerstone Mask Ogerpon ex,1,1,100.0,20.7,100.0
Mega Lucario ex,Latias ex,1,1,100.0,20.7,100.0
Latias ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Seaking,Latias ex,1,0,0.0,0.0,79.3
Latias ex,Seaking,1,1,100.0,20.7,100.0
Mega Lopunny ex,Hop’s Snorlax,1,1,100.0,20.7,100.0
Hop’s Snorlax,Mega Lopunny ex,1,0,0.0,0.0,79.3
Team Rocket's Mewtwo ex,Mega Gardevoir ex,1,1,100.0,20.7,100.0
Mega Gardevoir ex,Team Rocket's Mewtwo ex,1,0,0.0,0.0,79.3
Mega Gardevoir ex,Latias ex,1,1,100.0,20.7,100.0
Latias ex,Mega Gardevoir ex,1,0,0.0,0.0,79.3
Latias ex,N’s Zoroark ex,1,1,100.0,20.7,100.0
N’s Zoroark ex,Latias ex,1,0,0.0,0.0,79.3
Brambleghast,Hydrapple ex,1,0,0.0,0.0,79.3
Hydrapple ex,Brambleghast,1,1,100.0,20.7,100.0
Dragapult ex,Archaludon ex,1,1,100.0,20.7,100.0
Archaludon ex,Dragapult ex,1,0,0.0,0.0,79.3
N’s Zoroark ex,Okidogi,1,0,0.0,0.0,79.3
Okidogi,N’s Zoroark ex,1,1,100.0,20.7,100.0
Okidogi,Mega Gardevoir ex,1,0,0.0,0.0,79.3
Mega Gardevoir ex,Okidogi,1,1,100.0,20.7,100.0
Crustle,Cynthia's Garchomp ex,1,1,100.0,20.7,100.0
Cynthia's Garchomp ex,Crustle,1,0,0.0,0.0,79.3
Latias ex,Thwackey,1,1,100.0,20.7,100.0
Thwackey,Latias ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Okidogi,1,0,0.0,0.0,79.3
Okidogi,Mega Starmie ex,1,1,100.0,20.7,100.0
Paldean Tauros,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Paldean Tauros,1,1,100.0,20.7,100.0
Paldean Tauros,Hydrapple ex,1,1,100.0,20.7,100.0
Hydrapple ex,Paldean Tauros,1,0,0.0,0.0,79.3
Dragapult ex,Bronzong,1,0,0.0,0.0,79.3
Bronzong,Dragapult ex,1,1,100.0,20.7,100.0
Mega Sharpedo ex,Alakazam,1,1,100.0,20.7,100.0
Alakazam,Mega Sharpedo ex,1,0,0.0,0.0,79.3
Meowth ex,Alakazam,1,1,100.0,20.7,100.0
Alakazam,Meowth ex,1,0,0.0,0.0,79.3
Mega Kangaskhan ex,Meowth ex,1,1,100.0,20.7,100.0
Meowth ex,Mega Kangaskhan ex,1,0,0.0,0.0,79.3
N’s Zoroark ex,Arboliva ex,1,0,0.0,0.0,79.3
Arboliva ex,N’s Zoroark ex,1,1,100.0,20.7,100.0
Teal Mask Ogerpon ex,Team Rocket's Honchkrow,1,0,0.0,0.0,79.3
Team Rocket's Honchkrow,Teal Mask Ogerpon ex,1,1,100.0,20.7,100.0
Bronzong,Marnie's Grimmsnarl ex,1,0,0.0,0.0,79.3
Marnie's Grimmsnarl ex,Bronzong,1,1,100.0,20.7,100.0
Mega Heracross ex,Mega Lucario ex,1,1,100.0,20.7,100.0
Mega Lucario ex,Mega Heracross ex,1,0,0.0,0.0,79.3
